,Checking Account,Duration,Credit History,Purpose,Credit Amount,Saving Account,Employment Status,Installment Rate,Personal Status,Guarantors,Years in current address,Property,Age,Installment plans,Housing,Existing Credits,Job,Liable,Risk
426,No Account,28,default,radio/television,2743,little,>= 7 years,4,male   : single,none,2,car,29,none,own,2,skilled employee,1,good
427,No Account,18,default,radio/television,1149,rich,1 to <4 years,4,male   : single,none,3,real estate,46,none,own,2,skilled employee,1,good
428,No Account,9,paid back,furniture/equipment,1313,little,>= 7 years,1,male   : single,none,4,car,20,none,own,1,skilled employee,1,good
429,little,18,default,repairs,1190,little,unemployed,2,female : divorced/separated/married,none,4,no property,55,none,for free,3,unemployed/non-resident,2,bad
430,No Account,5,paid back,business,3448,little,4 to <7 years,1,male   : single,none,4,real estate,74,none,own,1,unskilled/resident,1,good
431,moderate,24,paid back,others,11328,little,1 to <4 years,2,male   : single,co-applicant,3,car,29,bank,own,2,management/highly qualified employee,1,bad
432,little,6,default,furniture/equipment,1872,little,unemployed,4,male   : single,none,4,no property,36,none,for free,3,management/highly qualified employee,1,good
433,No Account,24,default,repairs,2058,little,1 to <4 years,4,male   : divorced/separated,none,2,real estate,33,none,own,2,skilled employee,1,good
434,little,9,paid back,furniture/equipment,2136,little,1 to <4 years,3,male   : single,none,2,real estate,25,none,own,1,skilled employee,1,good
435,moderate,12,paid back,radio/television,1484,unknown,1 to <4 years,2,male   : married/widowed,none,1,real estate,25,none,own,1,skilled employee,1,bad
436,No Account,6,paid back,repairs,660,quite rich,4 to <7 years,2,male   : married/widowed,none,4,real estate,23,none,rent,1,unskilled/resident,1,good
437,No Account,24,default,car,1287,rich,>= 7 years,4,female : divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee,1,good
438,little,42,default,repairs,3394,little,unemployed,4,male   : single,co-applicant,4,car,65,none,own,2,unemployed/non-resident,1,good
439,rich,12,paid back,business,609,little,< 1 year,4,female : divorced/separated/married,none,1,real estate,26,none,own,1,unemployed/non-resident,1,bad
440,No Account,12,paid back,car,1884,little,>= 7 years,4,male   : single,none,4,car,39,none,own,1,management/highly qualified employee,1,good
441,little,12,paid back,furniture/equipment,1620,little,1 to <4 years,2,female : divorced/separated/married,co-applicant,3,life insurance,30,none,own,1,skilled employee,1,good
442,moderate,20,delay,others,2629,little,1 to <4 years,2,male   : single,none,3,car,29,bank,own,2,skilled employee,1,good
443,No Account,12,paid back,education,719,little,>= 7 years,4,male   : single,none,4,car,41,bank,own,1,unskilled/resident,2,bad
444,moderate,48,default,furniture/equipment,5096,little,1 to <4 years,2,female : divorced/separated/married,none,3,car,30,none,own,1,management/highly qualified employee,1,bad
445,No Account,9,default,education,1244,unknown,>= 7 years,4,female : divorced/separated/married,none,4,life insurance,41,none,rent,2,unskilled/resident,1,good
446,little,36,paid back,car,1842,little,< 1 year,4,female : divorced/separated/married,none,4,car,34,none,own,1,skilled employee,1,bad
447,moderate,7,paid back,radio/television,2576,little,1 to <4 years,2,male   : single,guarantor,2,real estate,35,none,own,1,skilled employee,1,good
448,rich,12,paid back,furniture/equipment,1424,unknown,>= 7 years,3,female : divorced/separated/married,none,4,real estate,55,none,own,1,management/highly qualified employee,1,good
449,moderate,15,delay,repairs,1512,rich,1 to <4 years,3,male   : married/widowed,none,3,life insurance,61,stores,own,2,skilled employee,1,bad
450,No Account,36,default,car,11054,unknown,1 to <4 years,4,male   : single,none,2,car,30,none,own,1,management/highly qualified employee,1,good
451,No Account,6,paid back,radio/television,518,little,1 to <4 years,3,female : divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee,1,good
452,No Account,12,paid back,furniture/equipment,2759,little,>= 7 years,2,male   : single,none,4,life insurance,34,none,own,2,skilled employee,1,good
453,No Account,24,paid back,car,2670,little,>= 7 years,4,male   : single,none,4,car,35,none,own,1,management/highly qualified employee,1,good
454,little,24,paid back,car,4817,little,4 to <7 years,2,male   : single,co-applicant,3,life insurance,31,none,own,1,skilled employee,1,bad
455,No Account,24,paid back,car,2679,little,< 1 year,4,female : divorced/separated/married,none,1,no property,29,none,own,1,management/highly qualified employee,1,good
456,little,11,default,car,3905,little,1 to <4 years,2,male   : single,none,2,real estate,36,none,rent,2,skilled employee,2,good
457,little,12,paid back,car,3386,little,>= 7 years,3,male   : single,none,4,no property,35,none,for free,1,skilled employee,1,bad
458,little,6,paid back,domestic appliances,343,little,< 1 year,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee,1,good
459,No Account,18,paid back,radio/television,4594,little,< 1 year,3,male   : single,none,2,car,32,none,own,1,skilled employee,1,good
460,little,36,paid back,furniture/equipment,3620,little,1 to <4 years,1,male   : single,guarantor,2,life insurance,37,none,own,1,skilled employee,2,good
461,little,15,paid back,car,1721,little,< 1 year,2,male   : single,none,3,real estate,36,none,own,1,skilled employee,1,good
462,moderate,12,paid back,furniture/equipment,3017,little,< 1 year,3,female : divorced/separated/married,none,1,real estate,34,none,rent,1,management/highly qualified employee,1,good
463,moderate,12,paid back,retraining,754,unknown,>= 7 years,4,male   : single,none,4,life insurance,38,none,own,2,skilled employee,1,good
464,No Account,18,paid back,business,1950,little,4 to <7 years,4,male   : single,none,1,car,34,stores,own,2,skilled employee,1,good
465,little,24,paid back,car,2924,little,1 to <4 years,3,male   : single,guarantor,4,no property,63,bank,own,1,skilled employee,2,good
466,little,24,delay,radio/television,1659,little,< 1 year,4,female : divorced/separated/married,none,2,car,29,none,rent,1,unskilled/resident,1,bad
467,No Account,48,delay,radio/television,7238,unknown,>= 7 years,3,male   : single,none,3,car,32,bank,own,2,skilled employee,2,good
468,No Account,33,delay,business,2764,little,1 to <4 years,2,female : divorced/separated/married,none,2,car,26,none,own,2,skilled employee,1,good
469,No Account,24,delay,car,4679,little,4 to <7 years,3,male   : single,none,3,car,35,none,own,2,unskilled/resident,1,good
470,moderate,24,paid back,radio/television,3092,moderate,< 1 year,3,male   : married/widowed,none,2,car,22,none,rent,1,skilled employee,1,bad
471,little,6,paid back,education,448,little,< 1 year,4,female : divorced/separated/married,none,4,life insurance,23,none,own,1,skilled employee,1,bad
472,little,9,paid back,car,654,little,1 to <4 years,4,male   : single,none,3,car,28,none,own,1,unskilled/resident,1,bad
473,No Account,6,paid back,retraining,1238,unknown,unemployed,4,male   : single,none,4,life insurance,36,none,own,1,management/highly qualified employee,2,good
474,moderate,18,default,radio/television,1245,little,1 to <4 years,4,male   : married/widowed,none,2,car,33,none,own,1,skilled employee,1,bad
475,little,18,paid back,furniture/equipment,3114,little,< 1 year,1,female : divorced/separated/married,none,4,life insurance,26,none,rent,1,skilled employee,1,bad
476,No Account,39,paid back,car,2569,quite rich,1 to <4 years,4,male   : single,none,4,car,24,none,own,1,skilled employee,1,good
477,rich,24,paid back,radio/television,5152,little,4 to <7 years,4,male   : single,none,2,car,25,bank,own,1,skilled employee,1,good
478,moderate,12,paid back,business,1037,moderate,4 to <7 years,3,male   : single,none,4,real estate,39,none,own,1,unskilled/resident,1,good
479,little,15,default,furniture/equipment,1478,little,>= 7 years,4,male   : single,none,4,car,44,none,own,2,skilled employee,2,good
480,moderate,12,default,radio/television,3573,little,1 to <4 years,1,female : divorced/separated/married,none,1,real estate,23,none,own,1,unskilled/resident,1,good
481,moderate,24,paid back,car,1201,little,< 1 year,4,male   : single,none,1,life insurance,26,none,own,1,skilled employee,1,good
482,little,30,paid back,furniture/equipment,3622,rich,>= 7 years,4,female : divorced/separated/married,none,4,life insurance,57,none,rent,2,skilled employee,1,good
483,No Account,15,delay,furniture/equipment,960,rich,4 to <7 years,3,female : divorced/separated/married,none,2,life insurance,30,none,own,2,skilled employee,1,good
484,No Account,12,default,car,1163,quite rich,1 to <4 years,4,male   : single,none,4,real estate,44,none,own,1,skilled employee,1,good
485,moderate,6,delay,car,1209,little,unemployed,4,male   : single,none,4,life insurance,47,none,own,1,management/highly qualified employee,1,bad
486,No Account,12,paid back,radio/television,3077,little,1 to <4 years,2,male   : single,none,4,car,52,none,own,1,skilled employee,1,good
487,No Account,24,paid back,car,3757,little,>= 7 years,4,female : divorced/separated/married,co-applicant,4,no property,62,none,for free,1,skilled employee,1,good
488,No Account,10,paid back,car,1418,moderate,1 to <4 years,3,male   : single,none,2,real estate,35,none,rent,1,unskilled/resident,1,good
489,No Account,6,paid back,car,3518,little,1 to <4 years,2,male   : single,guarantor,3,life insurance,26,none,rent,1,skilled employee,1,good
490,No Account,12,default,radio/television,1934,little,>= 7 years,2,male   : single,none,2,no property,26,none,own,2,skilled employee,1,good
491,moderate,27,paid back,business,8318,little,>= 7 years,2,female : divorced/separated/married,none,4,no property,42,none,for free,2,management/highly qualified employee,1,bad
492,No Account,6,default,radio/television,1237,moderate,1 to <4 years,1,female : divorced/separated/married,none,1,life insurance,27,none,own,2,skilled employee,1,good
493,moderate,6,paid back,radio/television,368,unknown,>= 7 years,4,male   : single,none,4,life insurance,38,none,own,1,skilled employee,1,good
494,little,12,default,car,2122,little,1 to <4 years,3,male   : single,none,2,real estate,39,none,rent,2,unskilled/resident,2,good
495,little,24,paid back,furniture/equipment,2996,unknown,1 to <4 years,2,male   : married/widowed,none,4,car,20,none,own,1,skilled employee,1,bad
496,moderate,36,paid back,furniture/equipment,9034,moderate,< 1 year,4,male   : single,co-applicant,1,no property,29,none,rent,1,management/highly qualified employee,1,bad
497,No Account,24,default,furniture/equipment,1585,little,4 to <7 years,4,male   : single,none,3,life insurance,40,none,own,2,skilled employee,1,good
498,moderate,18,paid back,radio/television,1301,little,>= 7 years,4,male   : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled/resident,1,good
499,rich,6,default,car,1323,moderate,>= 7 years,2,male   : divorced/separated,none,4,car,28,none,own,2,skilled employee,2,good
500,little,24,paid back,car,3123,little,< 1 year,4,female : divorced/separated/married,none,1,life insurance,27,none,own,1,skilled employee,1,bad
501,little,36,paid back,car,5493,little,>= 7 years,2,male   : single,none,4,no property,42,none,for free,1,skilled employee,2,good
502,rich,9,paid back,radio/television,1126,moderate,>= 7 years,2,male   : divorced/separated,none,4,real estate,49,none,own,1,skilled employee,1,good
503,moderate,24,default,radio/television,1216,moderate,< 1 year,4,male   : single,none,4,no property,38,bank,own,2,skilled employee,2,bad
504,little,24,paid back,car,1207,little,< 1 year,4,female : divorced/separated/married,none,4,life insurance,24,none,rent,1,skilled employee,1,bad
505,No Account,10,paid back,car,1309,unknown,1 to <4 years,4,male   : single,guarantor,4,life insurance,27,none,own,1,unskilled/resident,1,bad
506,rich,15,default,car,2360,quite rich,1 to <4 years,2,male   : single,none,2,car,36,none,own,1,skilled employee,1,good
507,moderate,15,paid back,car,6850,moderate,unemployed,1,male   : single,none,2,life insurance,34,none,own,1,management/highly qualified employee,2,bad
508,No Account,24,paid back,radio/television,1413,little,1 to <4 years,4,male   : married/widowed,none,2,life insurance,28,none,own,1,skilled employee,1,good
509,No Account,39,paid back,car,8588,moderate,>= 7 years,4,male   : single,none,2,car,45,none,own,1,management/highly qualified employee,1,good
510,little,12,paid back,car,759,little,4 to <7 years,4,male   : single,none,2,real estate,26,none,own,1,skilled employee,1,bad
511,No Account,36,paid back,car,4686,little,1 to <4 years,2,male   : single,none,2,no property,32,none,for free,1,management/highly qualified employee,1,good
512,rich,15,paid back,business,2687,little,4 to <7 years,2,male   : single,none,4,life insurance,26,none,rent,1,skilled employee,1,good
513,moderate,12,delay,radio/television,585,little,1 to <4 years,4,male   : married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee,1,good
514,No Account,24,paid back,car,2255,unknown,< 1 year,4,male   : single,none,1,life insurance,54,none,own,1,skilled employee,1,good
515,little,6,default,car,609,little,4 to <7 years,4,female : divorced/separated/married,none,3,life insurance,37,none,own,2,skilled employee,1,good
516,little,6,default,car,1361,little,< 1 year,2,male   : single,none,4,real estate,40,none,own,1,unskilled/resident,2,good
517,No Account,36,default,furniture/equipment,7127,little,< 1 year,2,female : divorced/separated/married,none,4,life insurance,23,none,rent,2,skilled employee,1,bad
518,little,6,paid back,car,1203,moderate,>= 7 years,3,male   : single,none,2,life insurance,43,none,own,1,skilled employee,1,good
519,No Account,6,default,radio/television,700,unknown,>= 7 years,4,male   : single,none,4,no property,36,none,for free,2,skilled employee,1,good
520,No Account,24,default,repairs,5507,little,>= 7 years,3,male   : single,none,4,no property,44,none,for free,2,skilled employee,1,good
521,little,18,paid back,radio/television,3190,little,1 to <4 years,2,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,bad
522,little,48,paid back,furniture/equipment,7119,little,1 to <4 years,3,male   : single,none,4,no property,53,none,for free,2,skilled employee,2,bad
523,No Account,24,paid back,car,3488,moderate,4 to <7 years,3,female : divorced/separated/married,none,4,car,23,none,own,1,skilled employee,1,good
524,moderate,18,paid back,radio/television,1113,little,1 to <4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled/resident,2,good
525,moderate,26,paid back,car,7966,little,< 1 year,2,male   : single,none,3,car,30,none,own,2,skilled employee,1,good
526,No Account,15,default,education,1532,moderate,1 to <4 years,4,female : divorced/separated/married,none,3,car,31,none,own,1,skilled employee,1,good
527,No Account,4,default,radio/television,1503,little,4 to <7 years,2,male   : single,none,1,real estate,42,none,own,2,unskilled/resident,2,good
528,little,36,paid back,radio/television,2302,little,1 to <4 years,4,male   : divorced/separated,none,4,car,31,none,rent,1,skilled employee,1,bad
529,little,6,paid back,car,662,little,< 1 year,3,male   : single,none,4,real estate,41,none,own,1,unskilled/resident,2,good
530,moderate,36,paid back,education,2273,little,4 to <7 years,3,male   : single,none,1,car,32,none,own,2,skilled employee,2,good
531,moderate,15,paid back,car,2631,moderate,1 to <4 years,2,female : divorced/separated/married,none,4,car,28,none,rent,2,skilled employee,1,bad
532,No Account,12,delay,car,1503,little,1 to <4 years,4,male   : married/widowed,none,4,real estate,41,none,rent,1,skilled employee,1,good
533,No Account,24,paid back,radio/television,1311,moderate,4 to <7 years,4,male   : married/widowed,none,3,life insurance,26,none,own,1,skilled employee,1,good
534,No Account,24,paid back,radio/television,3105,unknown,< 1 year,4,male   : single,none,2,car,25,none,own,2,skilled employee,1,good
535,rich,21,default,education,2319,little,< 1 year,2,male   : divorced/separated,none,1,car,33,none,rent,1,skilled employee,1,bad
536,little,6,paid back,car,1374,unknown,unemployed,4,female : divorced/separated/married,none,3,life insurance,75,none,own,1,management/highly qualified employee,1,good
537,moderate,18,default,furniture/equipment,3612,little,>= 7 years,3,female : divorced/separated/married,none,4,life insurance,37,none,own,1,skilled employee,1,good
538,little,48,paid back,car,7763,little,>= 7 years,4,male   : single,none,4,no property,42,bank,for free,1,management/highly qualified employee,1,bad
539,rich,18,paid back,furniture/equipment,3049,little,< 1 year,1,female : divorced/separated/married,none,1,life insurance,45,stores,own,1,unskilled/resident,1,good
540,moderate,12,paid back,radio/television,1534,little,< 1 year,1,male   : married/widowed,none,1,real estate,23,none,rent,1,skilled employee,1,bad
541,No Account,24,delay,car,2032,little,>= 7 years,4,male   : single,none,4,no property,60,none,for free,2,skilled employee,1,good
542,little,30,paid back,furniture/equipment,6350,unknown,>= 7 years,4,male   : single,none,4,life insurance,31,none,own,1,skilled employee,1,bad
543,rich,18,paid back,furniture/equipment,2864,little,1 to <4 years,2,male   : single,none,1,real estate,34,none,own,1,unskilled/resident,2,bad
544,No Account,12,default,car,1255,little,>= 7 years,4,male   : single,none,4,real estate,61,none,own,2,unskilled/resident,1,good
545,little,24,delay,car,1333,little,unemployed,4,male   : single,none,2,real estate,43,none,for free,2,skilled employee,2,bad
546,No Account,24,default,car,2022,little,1 to <4 years,4,female : divorced/separated/married,none,4,car,37,none,own,1,skilled employee,1,good
547,No Account,24,paid back,radio/television,1552,little,4 to <7 years,3,male   : single,none,1,car,32,bank,own,1,skilled employee,2,good
548,little,12,paid back,radio/television,626,little,1 to <4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled/resident,1,bad
549,No Account,48,default,car,8858,unknown,4 to <7 years,2,male   : single,none,1,no property,35,none,for free,2,skilled employee,1,good
550,No Account,12,default,repairs,996,unknown,4 to <7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee,1,good
551,No Account,6,paid back,radio/television,1750,quite rich,>= 7 years,2,male   : single,none,4,life insurance,45,bank,own,1,unskilled/resident,2,good
552,little,48,paid back,radio/television,6999,little,4 to <7 years,1,male   : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee,1,bad
553,moderate,12,default,car,1995,moderate,< 1 year,4,male   : single,none,1,car,27,none,own,1,skilled employee,1,good
554,moderate,9,paid back,education,1199,little,4 to <7 years,4,female : divorced/separated/married,none,4,life insurance,67,none,own,2,management/highly qualified employee,1,good
555,moderate,12,paid back,radio/television,1331,little,< 1 year,2,male   : single,none,1,car,22,stores,own,1,skilled employee,1,bad
556,moderate,18,paid back,car,2278,moderate,< 1 year,3,female : divorced/separated/married,none,3,car,28,none,own,2,skilled employee,1,bad
557,No Account,21,paid back,car,5003,unknown,1 to <4 years,1,female : divorced/separated/married,none,4,life insurance,29,bank,own,2,skilled employee,1,bad
558,little,24,paid back,furniture/equipment,3552,little,4 to <7 years,3,male   : single,none,4,car,27,bank,own,1,skilled employee,1,bad
559,moderate,18,default,furniture/equipment,1928,little,< 1 year,2,male   : single,none,2,real estate,31,none,own,2,unskilled/resident,1,bad
560,little,24,paid back,car,2964,unknown,>= 7 years,4,male   : single,none,4,no property,49,bank,for free,1,skilled employee,2,good
561,little,24,paid back,radio/television,1546,little,4 to <7 years,4,male   : single,guarantor,4,car,24,bank,rent,1,unskilled/resident,1,bad
562,rich,6,delay,radio/television,683,little,< 1 year,2,female : divorced/separated/married,none,1,life insurance,29,bank,own,1,skilled employee,1,good
563,moderate,36,paid back,car,12389,unknown,1 to <4 years,1,male   : single,none,4,no property,37,none,for free,1,skilled employee,1,bad
564,moderate,24,delay,business,4712,unknown,1 to <4 years,4,male   : single,none,2,life insurance,37,bank,own,2,management/highly qualified employee,1,good
565,moderate,24,delay,radio/television,1553,moderate,4 to <7 years,3,female : divorced/separated/married,none,2,life insurance,23,none,rent,2,skilled employee,1,good
566,little,12,paid back,car,1372,little,4 to <7 years,2,male   : divorced/separated,none,3,car,36,none,own,1,skilled employee,1,bad
567,No Account,24,default,radio/television,2578,rich,>= 7 years,2,male   : single,none,2,car,34,none,own,1,skilled employee,1,good
568,moderate,48,paid back,radio/television,3979,unknown,4 to <7 years,4,male   : single,none,1,car,41,none,own,2,skilled employee,2,good
569,little,48,paid back,radio/television,6758,little,1 to <4 years,3,female : divorced/separated/married,none,2,car,31,none,own,1,skilled employee,1,bad
570,little,24,paid back,furniture/equipment,3234,little,< 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled/resident,1,bad
571,No Account,30,default,radio/television,5954,little,4 to <7 years,3,male   : single,co-applicant,2,car,38,none,own,1,skilled employee,1,good
572,No Account,24,paid back,car,5433,unknown,unemployed,2,female : divorced/separated/married,none,4,life insurance,26,none,rent,1,management/highly qualified employee,1,good
573,little,15,paid back,business,806,little,1 to <4 years,4,female : divorced/separated/married,none,4,life insurance,22,none,own,1,unskilled/resident,1,good
574,moderate,9,paid back,radio/television,1082,little,>= 7 years,4,male   : single,none,4,car,27,none,own,2,unskilled/resident,1,good
575,No Account,15,default,furniture/equipment,2788,little,4 to <7 years,2,female : divorced/separated/married,co-applicant,3,car,24,bank,own,2,skilled employee,1,good
576,moderate,12,paid back,radio/television,2930,little,4 to <7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee,1,good
577,No Account,24,default,education,1927,unknown,1 to <4 years,3,female : divorced/separated/married,none,2,car,33,none,own,2,skilled employee,1,good
578,moderate,36,default,car,2820,little,< 1 year,4,male   : divorced/separated,none,4,car,27,none,own,2,skilled employee,1,bad
579,No Account,24,paid back,retraining,937,little,< 1 year,4,male   : married/widowed,none,3,car,27,none,own,2,unskilled/resident,1,good
580,moderate,18,default,car,1056,little,>= 7 years,3,male   : single,guarantor,3,real estate,30,bank,own,2,skilled employee,1,bad
581,moderate,12,default,car,3124,little,< 1 year,1,male   : single,none,3,real estate,49,bank,own,2,unskilled/resident,2,good
582,No Account,9,paid back,furniture/equipment,1388,little,1 to <4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee,1,good
583,moderate,36,paid back,repairs,2384,little,< 1 year,4,male   : single,none,1,no property,33,none,rent,1,unskilled/resident,1,bad
584,No Account,12,paid back,car,2133,unknown,>= 7 years,4,female : divorced/separated/married,none,4,no property,52,none,for free,1,management/highly qualified employee,1,good
585,little,18,paid back,furniture/equipment,2039,little,1 to <4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee,1,bad
586,little,9,default,car,2799,little,1 to <4 years,2,male   : single,none,2,real estate,36,none,rent,2,skilled employee,2,good
587,little,12,paid back,furniture/equipment,1289,little,1 to <4 years,4,male   : single,guarantor,1,life insurance,21,none,own,1,unskilled/resident,1,good
588,little,18,paid back,domestic appliances,1217,little,1 to <4 years,4,male   : married/widowed,none,3,real estate,47,none,own,1,unskilled/resident,1,bad
589,little,12,default,furniture/equipment,2246,little,>= 7 years,3,male   : single,none,3,life insurance,60,none,own,2,skilled employee,1,bad
590,little,12,default,radio/television,385,little,4 to <7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled/resident,1,good
591,moderate,24,delay,car,1965,unknown,1 to <4 years,4,female : divorced/separated/married,none,4,car,42,none,rent,2,skilled employee,1,good
592,No Account,21,paid back,business,1572,rich,>= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled/resident,1,good
593,moderate,24,paid back,car,2718,little,1 to <4 years,3,female : divorced/separated/married,none,4,life insurance,20,none,rent,1,unskilled/resident,1,bad
594,little,24,paid back,others,1358,unknown,>= 7 years,4,male   : single,none,3,car,40,stores,own,1,management/highly qualified employee,1,bad
595,moderate,6,paid back,car,931,moderate,< 1 year,1,female : divorced/separated/married,none,1,life insurance,32,stores,own,1,unskilled/resident,1,bad
596,little,24,paid back,car,1442,little,4 to <7 years,4,female : divorced/separated/married,none,4,car,23,none,rent,2,skilled employee,1,bad
597,moderate,24,paid back,business,4241,little,1 to <4 years,1,male   : single,none,4,real estate,36,none,own,3,unskilled/resident,1,bad
598,No Account,18,default,car,2775,little,4 to <7 years,2,male   : single,none,2,life insurance,31,bank,own,2,skilled employee,1,bad
599,No Account,24,delay,business,3863,little,1 to <4 years,1,male   : single,none,2,no property,32,none,for free,1,skilled employee,1,good
600,moderate,7,paid back,radio/television,2329,little,< 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee,1,good
601,moderate,9,paid back,furniture/equipment,918,little,1 to <4 years,4,female : divorced/separated/married,none,1,life insurance,30,none,own,1,skilled employee,1,bad
602,moderate,24,paid back,education,1837,little,4 to <7 years,4,female : divorced/separated/married,none,4,no property,34,bank,for free,1,unskilled/resident,1,bad
603,No Account,36,paid back,furniture/equipment,3349,little,1 to <4 years,4,female : divorced/separated/married,none,2,car,28,none,own,1,management/highly qualified employee,1,bad
604,rich,10,paid back,furniture/equipment,1275,little,< 1 year,4,female : divorced/separated/married,none,2,life insurance,23,none,own,1,skilled employee,1,good
605,little,24,paid back,furniture/equipment,2828,quite rich,1 to <4 years,4,male   : single,none,4,real estate,22,stores,own,1,skilled employee,1,good
606,No Account,24,default,business,4526,little,1 to <4 years,3,male   : single,none,2,real estate,74,none,own,1,management/highly qualified employee,1,good
607,moderate,36,paid back,radio/television,2671,moderate,1 to <4 years,4,female : divorced/separated/married,co-applicant,4,no property,50,none,for free,1,skilled employee,1,bad
608,No Account,18,paid back,radio/television,2051,little,< 1 year,4,male   : single,none,1,real estate,33,none,own,1,skilled employee,1,good
609,No Account,15,paid back,car,1300,unknown,>= 7 years,4,male   : single,none,4,no property,45,bank,for free,1,skilled employee,2,good
610,little,12,paid back,domestic appliances,741,moderate,unemployed,4,female : divorced/separated/married,none,3,life insurance,22,none,own,1,skilled employee,1,bad
611,rich,10,paid back,car,1240,moderate,>= 7 years,1,female : divorced/separated/married,none,4,no property,48,none,for free,1,unskilled/resident,2,bad
612,little,21,paid back,radio/television,3357,rich,< 1 year,4,female : divorced/separated/married,none,2,car,29,bank,own,1,skilled employee,1,good
613,little,24,paid back,car,3632,little,1 to <4 years,1,female : divorced/separated/married,guarantor,4,car,22,bank,rent,1,skilled employee,1,good
614,No Account,18,delay,furniture/equipment,1808,little,4 to <7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee,1,bad
615,moderate,48,paid back,business,12204,unknown,1 to <4 years,2,male   : single,none,2,car,48,bank,own,1,management/highly qualified employee,1,good
616,moderate,60,delay,radio/television,9157,unknown,1 to <4 years,2,male   : single,none,2,no property,27,none,for free,1,management/highly qualified employee,1,good
617,little,6,default,car,3676,little,1 to <4 years,1,male   : single,none,3,real estate,37,none,rent,3,skilled employee,2,good
618,moderate,30,paid back,furniture/equipment,3441,moderate,1 to <4 years,2,female : divorced/separated/married,co-applicant,4,car,21,none,rent,1,skilled employee,1,bad
619,No Account,12,paid back,car,640,little,1 to <4 years,4,male   : divorced/separated,none,2,real estate,49,none,own,1,unskilled/resident,1,good
620,moderate,21,default,business,3652,little,4 to <7 years,2,male   : single,none,3,life insurance,27,none,own,2,skilled employee,1,good
621,No Account,18,default,car,1530,little,1 to <4 years,3,male   : single,none,2,life insurance,32,bank,own,2,skilled employee,1,bad
622,No Account,48,paid back,business,3914,unknown,1 to <4 years,4,male   : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee,1,bad
623,little,12,paid back,furniture/equipment,1858,little,< 1 year,4,female : divorced/separated/married,none,1,car,22,none,rent,1,skilled employee,1,good
624,little,18,paid back,radio/television,2600,little,1 to <4 years,4,male   : single,none,4,no property,65,none,for free,2,skilled employee,1,bad
625,No Account,15,paid back,radio/television,1979,unknown,>= 7 years,4,male   : single,none,2,car,35,none,own,1,skilled employee,1,good
626,rich,6,paid back,furniture/equipment,2116,little,1 to <4 years,2,male   : single,none,2,real estate,41,none,own,1,skilled employee,1,good
627,moderate,9,paid back,car,1437,moderate,4 to <7 years,2,male   : single,none,3,no property,29,none,own,1,skilled employee,1,bad
628,No Account,42,default,furniture/equipment,4042,quite rich,1 to <4 years,4,male   : single,none,4,real estate,36,none,own,2,skilled employee,1,good
629,No Account,9,paid back,education,3832,unknown,>= 7 years,1,male   : single,none,4,real estate,64,none,own,1,unskilled/resident,1,good
630,little,24,paid back,radio/television,3660,little,1 to <4 years,2,female : divorced/separated/married,none,4,car,28,none,own,1,skilled employee,1,good
631,little,18,paid back,furniture/equipment,1553,little,1 to <4 years,4,male   : single,none,3,car,44,bank,own,1,skilled employee,1,bad
632,moderate,15,paid back,radio/television,1444,unknown,< 1 year,4,male   : single,none,1,life insurance,23,none,own,1,skilled employee,1,good
633,No Account,9,paid back,furniture/equipment,1980,little,< 1 year,2,female : divorced/separated/married,co-applicant,2,car,19,none,rent,2,skilled employee,1,bad
634,moderate,24,paid back,car,1355,little,< 1 year,3,female : divorced/separated/married,none,4,car,25,none,own,1,unskilled/resident,1,bad
635,No Account,12,paid back,education,1393,little,>= 7 years,4,male   : single,none,4,life insurance,47,bank,own,3,skilled employee,2,good
636,No Account,24,paid back,radio/television,1376,quite rich,4 to <7 years,4,female : divorced/separated/married,none,1,car,28,none,own,1,skilled employee,1,good
637,No Account,60,delay,radio/television,15653,little,4 to <7 years,2,male   : single,none,4,car,21,none,own,2,skilled employee,1,good
638,No Account,12,paid back,radio/television,1493,little,< 1 year,4,female : divorced/separated/married,none,3,car,34,none,own,1,skilled employee,2,good
639,little,42,delay,radio/television,4370,little,4 to <7 years,3,male   : single,none,2,life insurance,26,bank,own,2,skilled employee,2,bad
